,model,original_em,original_f1,original_sas,lexical_em,lexical_f1,lexical_sas,difference_em,difference_f1,difference_sas,rank_original_em,rank_original_f1,rank_original_sas,rank_lexical_em,rank_lexical_f1,rank_lexical_sas
0,GPT-5-Nano,66.42636457260556,83.66623314901163,0.9097736956806801,62.924819773429455,80.11210225564767,0.8880588055792601,3.5015447991761093,3.5541308933639613,0.021714890101420026,20.0,20.0,20.0,20.0,20.0,19.0
1,GPT-5-mini,75.07723995880535,89.44232410898253,0.9368210353885694,71.06076210092688,85.99018805394874,0.9207241655884638,4.016477857878471,3.4521360550337903,0.016096869800105607,14.0,11.0,11.0,14.0,10.0,10.0
2,GPT-4.1-Nano,76.72502574665293,89.55766886412681,0.939791936024517,71.47270854788877,85.59988162043308,0.9190935750772944,5.25231719876416,3.95778724369373,0.02069836094722266,10.0,10.0,8.0,13.0,12.0,12.0
3,GPT-4.1-mini,77.03398558187436,90.5920765024122,0.9435804107070092,72.50257466529351,86.85363985405614,0.9251055893949574,4.531410916580853,3.738436648356057,0.018474821312051803,9.0,7.0,7.0,9.0,8.0,7.0
4,GPT-OSS-120b,71.7816683831102,87.17696907763944,0.9336928650506616,67.35324407826982,83.73265767669515,0.914806063370405,4.428424304840377,3.4443114009442866,0.018886801680256582,16.0,14.0,14.0,16.0,16.0,14.0
5,GPT-OSS-20b,70.75180226570546,87.08786502917395,0.9236361543301697,65.9114315139032,83.04548216489849,0.9053609065949364,4.8403707518022685,4.042382864275467,0.018275247735233258,17.0,16.0,16.0,18.0,18.0,17.0
6,Llama-3.3-70B-Instruct,82.18331616889805,92.49506104631759,0.958567570660927,77.13697219361482,88.9640003961337,0.9400067996813021,5.0463439752832215,3.531060650183889,0.01856077097962494,5.0,5.0,4.0,6.0,5.0,4.0
7,Llama-3.1-8B-Instruct,72.1936148300721,86.50910772330285,0.9195312230812288,66.94129763130793,83.15865243295528,0.9035638035932051,5.25231719876416,3.3504552903475684,0.015967419488023715,15.0,17.0,18.0,17.0,17.0,18.0
8,Llama-3.2-3B-Instruct,75.2832131822863,87.17219174879686,0.9266444827160433,71.88465499485066,84.12689272133679,0.9115395659137705,3.39855818743564,3.045299027460075,0.015104916802272772,13.0,15.0,15.0,10.0,14.0,15.0
9,Llama-3.2-1B-Instruct,57.260556127703396,71.20950472137291,0.8417297400779692,53.03810504634397,67.11494806419739,0.8172541298547685,4.222451081359424,4.0945566571755165,0.02447561022320066,22.0,22.0,22.0,22.0,22.0,22.0
10,gemini-2.5-flash,86.40576725025747,94.20663863357332,0.9675582243258135,83.5221421215242,91.68276357555526,0.9556521909305659,2.8836251287332715,2.5238750580180636,0.01190603339524765,2.0,1.0,1.0,1.0,1.0,1.0
11,gemini-2.5-flash-lite,85.58187435633367,93.48095606599051,0.9615860180325047,80.32955715756951,89.56015989875824,0.9438800333042837,5.25231719876416,3.920796167232268,0.017705984728220936,3.0,2.0,3.0,3.0,3.0,3.0
12,gemma-3-27b-it,76.21009268795056,90.08196847023608,0.9389590408603146,71.88465499485066,87.1977106320103,0.9244059918162506,4.3254376930999,2.8842578382257784,0.01455304904406396,11.0,8.0,9.0,10.0,7.0,8.0
13,gemma-3-12b-it,81.77136972193615,91.43325648468726,0.9507907629550179,77.54891864057673,88.58441404133845,0.9362283702997297,4.222451081359424,2.848842443348815,0.014562392655288137,6.0,6.0,6.0,5.0,6.0,6.0
14,gemma-3-4b-it,78.88774459320288,89.60539159107161,0.9362157049035437,74.76828012358393,86.59309238142794,0.9217540354158127,4.119464469618947,3.012299209643672,0.014461669487730977,8.0,9.0,12.0,8.0,9.0,9.0
15,gemma-3-1b-it,64.98455200823894,77.67824677476749,0.8727608284290523,60.762100926879505,73.26316378832725,0.8519597484986274,4.222451081359431,4.41508298644024,0.020801079930424904,21.0,21.0,21.0,21.0,21.0,21.0
16,gemma-3-270m-it,21.112255406797118,36.1571840818346,0.612028918721081,20.185375901132854,33.52168482734558,0.592082422792079,0.9268795056642638,2.6354992544890194,0.019946495929001995,23.0,23.0,23.0,23.0,23.0,23.0
17,Mistral-Large-Instruct-2411,86.92070030895984,93.30947196383002,0.9649275832116051,83.1101956745623,90.50471622972313,0.9547827845836397,3.8105046343975317,2.804755734106891,0.010144798627965357,1.0,3.0,2.0,2.0,2.0,2.0
18,Mistral-Small-3.2-24B-Instruct-2506,84.24304840370752,92.90928978068763,0.958013077075646,79.19670442842431,89.47747531061879,0.9391441498216468,5.046343975283207,3.4318144700688435,0.018868927253999135,4.0,4.0,5.0,4.0,4.0,5.0
19,Ministral-8B-Instruct-2410,80.0205973223481,89.08834647118553,0.934712462226959,75.79814624098867,85.36070878120343,0.9170473988957312,4.222451081359424,3.727637689982103,0.01766506333122786,7.0,12.0,13.0,7.0,13.0,13.0
20,Qwen3-235B-A22B-Instruct-2507,70.75180226570546,85.62751881804046,0.9196257901394281,68.69207003089598,83.73594292417545,0.9078741725821942,2.0597322348094877,1.89157589386501,0.011751617557233973,17.0,18.0,17.0,15.0,15.0,16.0
21,Qwen3-30B-A3B-Instruct-2507,76.00411946446962,88.7264363800749,0.9370099404101653,71.57569515962925,85.72672291376087,0.9197112223340619,4.428424304840377,2.9997134663140343,0.017298718076103392,12.0,13.0,10.0,12.0,11.0,11.0
22,Qwen3-4B-Instruct-2507,69.10401647785788,85.00685675731944,0.9137690598346546,63.33676622039135,80.60718313725528,0.8873944855002585,5.767250257466536,4.3996736200641635,0.02637457433439616,19.0,19.0,19.0,19.0,19.0,20.0
