,model,original_em,original_f1,original_sas,syntactic_em,syntactic_f1,syntactic_sas,difference_em,difference_f1,difference_sas,rank_original_em,rank_original_f1,rank_original_sas,rank_syntactic_em,rank_syntactic_f1,rank_syntactic_sas
0,GPT-5-Nano,66.42636457260556,83.66623314901163,0.9097736956806801,63.23377960865088,81.05966048212888,0.8927084207247049,3.192584963954687,2.606572666882755,0.017065274955975207,20.0,20.0,20.0,20.0,20.0,19.0
1,GPT-5-mini,75.07723995880535,89.44232410898253,0.9368210353885694,72.09062821833162,87.00200261539032,0.9230043726515726,2.986611740473734,2.440321493592208,0.013816662736996776,14.0,11.0,11.0,14.0,10.0,12.0
2,GPT-4.1-Nano,76.72502574665293,89.55766886412681,0.939791936024517,73.22348094747683,86.5319236537436,0.9250753283132362,3.501544799176102,3.0257452103832065,0.014716607711280805,10.0,10.0,8.0,12.0,11.0,8.0
3,GPT-4.1-mini,77.03398558187436,90.5920765024122,0.9435804107070092,75.07723995880535,88.31660168293688,0.9311033073432905,1.9567456230690112,2.2754748194753205,0.012477103363718656,9.0,7.0,7.0,9.0,7.0,7.0
4,GPT-OSS-120b,71.7816683831102,87.17696907763944,0.9336928650506616,70.03089598352214,85.20100726066376,0.924386282989527,1.7507723995880582,1.9759618169756834,0.00930658206113466,16.0,14.0,14.0,15.0,14.0,9.0
5,GPT-OSS-20b,70.75180226570546,87.08786502917395,0.9236361543301697,68.89804325437693,85.1066803921173,0.9205119820536104,1.8537590113285347,1.981184637056657,0.003124172276559256,17.0,16.0,16.0,18.0,15.0,14.0
6,Llama-3.3-70B-Instruct,82.18331616889805,92.49506104631759,0.958567570660927,79.19670442842431,90.23404685942067,0.9443298254150564,2.986611740473734,2.261014186896915,0.014237745245870626,5.0,5.0,4.0,6.0,5.0,4.0
7,Llama-3.1-8B-Instruct,72.1936148300721,86.50910772330285,0.9195312230812288,69.61894953656025,84.45091252913356,0.9070008772854088,2.574665293511842,2.0581951941692864,0.01253034579582002,15.0,17.0,18.0,16.0,17.0,17.0
8,Llama-3.2-3B-Instruct,75.2832131822863,87.17219174879686,0.9266444827160433,73.53244078269825,84.53964238446508,0.9097804542051592,1.7507723995880582,2.63254936433178,0.016864028510884088,13.0,15.0,15.0,11.0,16.0,16.0
9,Llama-3.2-1B-Instruct,57.260556127703396,71.20950472137291,0.8417297400779692,54.685890834191554,67.3040537238676,0.8159704629397049,2.574665293511842,3.905450997505312,0.025759277138264314,22.0,22.0,22.0,22.0,22.0,22.0
10,gemini-2.5-flash,86.40576725025747,94.20663863357332,0.9675582243258135,83.5221421215242,91.93992927113133,0.9557153325063684,2.8836251287332715,2.2667093624419863,0.01184289181944509,2.0,1.0,1.0,2.0,1.0,1.0
11,gemini-2.5-flash-lite,85.58187435633367,93.48095606599051,0.9615860180325047,82.49227600411946,90.66883174812438,0.9442813523290209,3.0895983522142103,2.812124317866136,0.017304665703483768,3.0,2.0,3.0,3.0,4.0,5.0
12,gemma-3-27b-it,76.21009268795056,90.08196847023608,0.9389590408603146,73.22348094747683,87.24525769081906,0.9215552586904822,2.986611740473734,2.836710779417018,0.017403782169832405,11.0,8.0,9.0,12.0,8.0,13.0
13,gemma-3-12b-it,81.77136972193615,91.43325648468726,0.9507907629550179,77.54891864057673,88.40008522483461,0.9325144531015387,4.222451081359424,3.033171259852651,0.018276309853479167,6.0,6.0,6.0,7.0,6.0,6.0
14,gemma-3-4b-it,78.88774459320288,89.60539159107161,0.9362157049035437,75.2832131822863,86.33717558791567,0.9150944792470836,3.6045314109165787,3.268216003155942,0.02112122565646002,8.0,9.0,12.0,8.0,13.0,15.0
15,gemma-3-1b-it,64.98455200823894,77.67824677476749,0.8727608284290523,59.62924819773429,72.36433675180074,0.8415811099380592,5.355303810504644,5.313910022966752,0.031179718490993102,21.0,21.0,21.0,21.0,21.0,21.0
16,gemma-3-270m-it,21.112255406797118,36.1571840818346,0.612028918721081,17.30175077239959,30.397752171981086,0.5674552566052465,3.810504634397528,5.7594319098535145,0.04457366211583447,23.0,23.0,23.0,23.0,23.0,23.0
17,Mistral-Large-Instruct-2411,86.92070030895984,93.30947196383002,0.9649275832116051,85.16992790937178,91.62761750876007,0.9527429578908317,1.7507723995880582,1.6818544550699528,0.012184625320773357,1.0,3.0,2.0,1.0,2.0,2.0
18,Mistral-Small-3.2-24B-Instruct-2506,84.24304840370752,92.90928978068763,0.958013077075646,82.38928939237898,91.02611764167105,0.9461963427330757,1.8537590113285347,1.8831721390165796,0.011816734342570245,4.0,4.0,5.0,4.0,3.0,3.0
19,Ministral-8B-Instruct-2410,80.0205973223481,89.08834647118553,0.934712462226959,79.40267765190525,87.22886007460693,0.9233699393459623,0.6179196704428449,1.8594863965786033,0.011342522880996686,7.0,12.0,13.0,5.0,9.0,11.0
20,Qwen3-235B-A22B-Instruct-2507,70.75180226570546,85.62751881804046,0.9196257901394281,69.20700308959836,83.80429794987235,0.9052771046627255,1.5447991761071052,1.8232208681681072,0.01434868547670265,17.0,18.0,17.0,17.0,18.0,18.0
21,Qwen3-30B-A3B-Instruct-2507,76.00411946446962,88.7264363800749,0.9370099404101653,73.7384140061792,86.47408818720643,0.9237354418107458,2.2657054582904266,2.2523481928684674,0.013274498599419426,12.0,13.0,10.0,10.0,12.0,10.0
22,Qwen3-4B-Instruct-2507,69.10401647785788,85.00685675731944,0.9137690598346546,67.4562306900103,82.29388261257306,0.8907735102764887,1.6477857878475817,2.712974144746383,0.022995549558165962,19.0,19.0,19.0,19.0,19.0,20.0
