,model,original,lexical,score_difference,rank_original,rank_lexical
0,GPT-5-Nano,0.6962170698442323,0.5944296891823989,0.10178738066183335,14.0,14.0
1,GPT-5-mini,0.8007321800301486,0.7078458114995334,0.09288636853061516,7.0,7.0
2,GPT-4.1-Nano,0.6997344052831814,0.6216352020673318,0.07809920321584962,13.0,13.0
3,GPT-4.1-mini,0.807623286196253,0.7250735769147943,0.08254970928145866,5.0,4.0
4,GPT-OSS-120b,0.8619625296102218,0.7648410020816884,0.09712152752853342,1.0,1.0
5,GPT-OSS-20b,0.8145861747182542,0.7186849472399685,0.09590122747828578,4.0,5.0
6,Llama-3.3-70B-Instruct,0.8048955566721699,0.7122245352092456,0.09267102146292439,6.0,6.0
7,Llama-3.1-8B-Instruct,0.6285980905893331,0.5477711578494007,0.08082693273993247,17.0,17.0
8,Llama-3.2-3B-Instruct,0.5805039121383964,0.510300768071208,0.0702031440671883,19.0,20.0
9,Llama-3.2-1B-Instruct,0.2571243988227694,0.24865408082693274,0.00847031799583664,22.0,22.0
10,gemini-2.5-flash,0.8496877467518484,0.7618979254899145,0.08778982126193391,3.0,2.0
11,gemini-2.5-flash-lite,0.6349149379082621,0.5490632402555452,0.08585169765271694,16.0,16.0
12,gemma-3-27b-it,0.7662766491996267,0.6716675041274854,0.09460914507214124,11.0,11.0
13,gemma-3-12b-it,0.7119374057856579,0.625152537506281,0.08678486827937693,12.0,12.0
14,gemma-3-4b-it,0.5725360706338382,0.5156126624075802,0.056923408226257965,20.0,19.0
15,gemma-3-1b-it,0.3883425454023401,0.36120881487330414,0.02713373052903595,21.0,21.0
16,gemma-3-270m-it,0.13380231139185988,0.1370325174072213,-0.00323020601536142,23.0,23.0
17,Mistral-Large-Instruct-2411,0.8005886153183548,0.7070562055846673,0.09353240973368748,8.0,8.0
18,Mistral-Small-3.2-24B-Instruct-2506,0.7666355609791113,0.6733184983131146,0.09331706266599671,10.0,10.0
19,Ministral-8B-Instruct-2410,0.617041131289929,0.541095398750987,0.07594573253894199,18.0,18.0
20,Qwen3-235B-A22B-Instruct-2507,0.8559328117148804,0.76153901371043,0.09439379800445047,2.0,3.0
21,Qwen3-30B-A3B-Instruct-2507,0.7731677553657311,0.6887517048309526,0.08441605053477852,9.0,9.0
22,Qwen3-4B-Instruct-2507,0.6605412389634627,0.5634197114349293,0.09712152752853342,15.0,15.0
