,model,original,syntactic,score_difference,rank_original,rank_syntactic
0,GPT-5-Nano,0.654148590021692,0.6320498915401301,0.022098698481561874,14.0,14.0
1,GPT-5-mini,0.7725054229934925,0.7540672451193059,0.018438177874186557,8.0,8.0
2,GPT-4.1-Nano,0.6559110629067245,0.636117136659436,0.019793926247288485,13.0,13.0
3,GPT-4.1-mini,0.7803687635574837,0.7642353579175705,0.01613340563991328,6.0,6.0
4,GPT-OSS-120b,0.8290401301518439,0.8051789587852495,0.02386117136659438,3.0,3.0
5,GPT-OSS-20b,0.7775216919739696,0.7543383947939263,0.023183297180043305,7.0,7.0
6,Llama-3.3-70B-Instruct,0.7969088937093276,0.7807754880694143,0.01613340563991328,4.0,4.0
7,Llama-3.1-8B-Instruct,0.6068329718004338,0.5835140997830802,0.02331887201735361,17.0,17.0
8,Llama-3.2-3B-Instruct,0.5626355748373102,0.5428416485900217,0.019793926247288485,19.0,19.0
9,Llama-3.2-1B-Instruct,0.2559652928416486,0.25488069414316705,0.0010845986984815426,22.0,22.0
10,gemini-2.5-flash,0.8297180043383948,0.8084327548806941,0.021285249457700717,1.0,2.0
11,gemini-2.5-flash-lite,0.6152386117136659,0.6123915401301518,0.002847071583514049,16.0,15.0
12,gemma-3-27b-it,0.7341377440347071,0.7186822125813449,0.015455531453362203,10.0,10.0
13,gemma-3-12b-it,0.6776030368763557,0.6538774403470716,0.023725596529284076,12.0,12.0
14,gemma-3-4b-it,0.5309110629067245,0.5184381778741866,0.012472885032537961,20.0,20.0
15,gemma-3-1b-it,0.36090021691973967,0.3526301518438178,0.008270065075921873,21.0,21.0
16,gemma-3-270m-it,0.1477765726681128,0.1530639913232104,-0.005287418655097603,23.0,23.0
17,Mistral-Large-Instruct-2411,0.786062906724512,0.7657266811279827,0.020336225596529256,5.0,5.0
18,Mistral-Small-3.2-24B-Instruct-2506,0.7312906724511931,0.7108188720173536,0.02047180043383945,11.0,11.0
19,Ministral-8B-Instruct-2410,0.5932754880694143,0.5692787418655098,0.023996746203904573,18.0,18.0
20,Qwen3-235B-A22B-Instruct-2507,0.8293112798264642,0.8099240780911063,0.019387201735357906,2.0,1.0
21,Qwen3-30B-A3B-Instruct-2507,0.7361713665943601,0.7220715835140998,0.014099783080260275,9.0,9.0
22,Qwen3-4B-Instruct-2507,0.6289316702819957,0.6123915401301518,0.016540130151843857,15.0,15.0
